uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:A1993MM51900001,CARBONIZATION MECHANISMS RESULTING FROM INTUMESCENCE ASSOCIATION WITH THE AMMONIUM POLYPHOSPHATE-PENTAERYTHRITOL FIRE-RETARDANT SYSTEM,CARBON,8,31,1219-1230,NA,1993,"BOURBIGOT, S | LEBRAS, M | DELOBEL, R",INTUMESCENCE | AMMONIUM POLYPHOSPHATE PENTAERYTHRITOL | RAMAN MICROSPECTROSCOPY | MAS NMR C-13 | H-1 | P-31,NA,NA,MM519,0008-6223,NA,all,all
WOS:000077955400007,Direct and residual effects of liquid ammonium polyphosphate as a phosphorus source in wheat (Triticum aestivum) maize (Zea mays) cropping system in an Entisol of western Uttar Pradesh,INDIAN JOURNAL OF AGRONOMY,2,43,223-230,JUN,1998,"Sharma, RD | Singh, TA",wheat-maize cropping | ammonium polyphosphate | grain and stover yields | phosphorus uptake,NA,NA,155PK,0537-197X,NA,all,all
WOS:000177453200018,Using polyamide-6 as charring agent in intumescent polypropylene formulations I. Effect of the compatibilising agent on the fire retardancy performance,POLYMER DEGRADATION AND STABILITY,2,77,305-313,AUG,2002,"Almeras, X | Dabrowski, F | Le Bras, M | Poutch, F | Bourbigot, S | Marosi, G | Anna, P",intumescence | fire retardancy | polypropylene | polyamide-6 | ammonium polyphosphate | cone calorimetry,NA,NA,584EA,0141-3910,NA,all,all
WOS:000238334000017,Preparation and characterization of sodium hexameta phosphate cross-linked chitosan microspheres for controlled and sustained delivery of centchroman,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,3-5,38,272-283,MAY 30,2006,"Gupta, K. C. | Jabrail, Fawzi Habeeb",centchroman | chitosan | hexameta polyphosphate | controlled drug release,10.1016/j.ijbiomac.2006.03.013,NA,053VN,0141-8130,NA,all,all
WOS:A1989AR64100013,ONE SINGLE LYSINE RESIDUE IS RESPONSIBLE FOR THE SPECIAL INTERACTION BETWEEN POLYPHOSPHATE AND THE OUTER-MEMBRANE PORIN PHOE OF ESCHERICHIA-COLI,JOURNAL OF BIOLOGICAL CHEMISTRY,28,264,16393-16398,OCT 5,1989,"BAUER, K | STRUYVE, M | BOSCH, D | BENZ, R | TOMMASSEN, J",,NA,NA,AR641,0021-9258,NA,all,all
WOS:000230406000024,An intracellular phosphate buffer filters transient fluctuations in extracellular phosphate levels,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,27,102,9565-9570,JUL 5,2005,"Thomas, MR | O'Shea, EK",homeostasis | nutrients | polyphosphate | signaling,10.1073/pnas.0501122102,NA,944DN,0027-8424,NA,all,all
WOS:000376225000012,A promising scaffold with excellent cytocompatibility and pro-angiogenesis action for dental tissue engineering: Strontium-doped calcium polyphosphate,DENTAL MATERIALS JOURNAL,2,35,241-249,APR,2016,"Qin, Huanhuan | Yang, Zhouyuan | Li, Li | Yang, Xu | Liu, Jingwang | Chen, Xi | Yu, Xixun",Vascular endothelial growth factor | Basic fibroblast growth factor | Human dental pulp cells | Strontium-doped calcium polyphosphate,10.4012/dmj.2015-272,NA,DM3CS,0287-4547,NA,all,all
WOS:000312926400017,Effect of long-term starvation conditions on polyphosphate- and glycogen-accumulating organisms,BIORESOURCE TECHNOLOGY,NA,127,126-131,JAN,2013,"Vargas, M. | Yuan, Z. | Pijuan, M.",Polyphosphate-accumulating organisms | Glycogen-accumulating organisms | Endogenous metabolism | Starvation conditions | Decay processes,10.1016/j.biortech.2012.09.117,NA,062NK,0960-8524,NA,all,all
WOS:000305838400003,Thermal decomposition and fire behavior of glass fiber-reinforced polyester resin composites containing phosphate-based fire-retardant additives,JOURNAL OF FIRE SCIENCES,4,30,318-330,JUL,2012,"Ricciardi, Maria R. | Antonucci, Vincenza | Giordano, Michele | Zarrelli, Mauro",Polymer composites | fire behavior | ammonium polyphosphate,10.1177/0734904112439293,NA,966LF,0734-9041,NA,all,all
WOS:000227096600034,Inositol diphosphate signaling regulates telomere length,JOURNAL OF BIOLOGICAL CHEMISTRY,6,280,4264-4269,FEB 11,2005,"York, SJ | Armbruster, BN | Greenwell, P | Petes, TD | York, JD",,10.1074/jbc.M412070200,NA,898SN,0021-9258,NA,all,all
