uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000260016200010,The secret to achieving reliable biological phosphorus removal,WATER SCIENCE AND TECHNOLOGY,6,58,1231-1236,NA,2008,"Thomas, M. P.",acetate | biological phosphorus removal | glycogen accumulating organisms (GAO) | polyphosphate accumulating organisms (PAO) | propionate,10.2166/wst.2008.477,NA,359VM,0273-1223,NA,saltwater,marine
WOS:000427597800001,Effect of Salt on the Metabolism of 'Candidatus Accumulibacter' Clade I and II,FRONTIERS IN MICROBIOLOGY,NA,9,,MAR 16,2018,"Wang, Zhongwei | Dunne, Aislinn | van Loosdrecht, Mark C. M. | Saikaly, Pascal E.",water scarcity | saline wastewater | enhanced biological phosphorus removal | phosphate-accumulating organism (PAO) | 'Candidatus Accumulibacter phosphatis' Clade I and II,10.3389/fmicb.2018.00479,NA,FZ4YI,1664-302X,NA,saltwater,marine
WOS:000333612000034,Evaluating the main and side effects of high salinity on aerobic granular sludge,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,3,98,1339-1348,FEB,2014,"Pronk, M. | Bassin, J. P. | de Kreuk, M. K. | Kleerebezem, R. | van Loosdrecht, M. C. M.",Aerobic granular sludge | Salt | Nitrite inhibition | Biological phosphate removal | Accumulibacter sp | Wastewater treatment | Nitrous oxide,10.1007/s00253-013-4912-z,NA,AD9VF,0175-7598,NA,saltwater,marine
WOS:000296760200008,Effect of Elevated Salt Concentrations on the Aerobic Granular Sludge Process: Linking Microbial Activity with Microbial Community Structure,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,22,77,7942-7953,NOV,2011,"Bassin, J. P. | Pronk, M. | Muyzer, G. | Kleerebezem, R. | Dezotti, M. | van Loosdrecht, M. C. M.",,10.1128/AEM.05016-11,NA,844PS,0099-2240,NA,saltwater,marine
WOS:000461563200039,Estimation of microbial phosphate-accumulation abilities,SCIENTIFIC REPORTS,NA,9,,MAR 19,2019,"Anand, Ajeeta | Aoyagi, Hideki",,10.1038/s41598-018-37752-8,NA,HP3FX,2045-2322,NA,saltwater,marine
WOS:000287589700005,Biological removal of phosphate from synthetic wastewater using bacterial consortium,IRANIAN JOURNAL OF BIOTECHNOLOGY,1,9,37-49,NA,2011,"Krishnaswamy, Usharani | Muthuchamy, Muthukumar | Perumalsamy, Lakshmanaperumalsamy",Phosphate removal | Synthetic waste water | Consortium-Bacillus sp RS-1 | Pseudomonas sp YLW-7 | Enterobacter sp KLW-2,NA,NA,724PW,1728-3043,NA,saltwater,marine
WOS:000188115300073,"Use of stable-isotope probing, full-cycle rRNA analysis, and fluorescence in situ hybridization-microautoradiography to study a methanol-fed denitrifying microbial community",APPLIED AND ENVIRONMENTAL MICROBIOLOGY,1,70,588-596,JAN,2004,"Ginige, MP | Hugenholtz, P | Daims, H | Wagner, M | Keller, J | Blackall, LL",,10.1128/AEM.70.1.588-596.2004,NA,763RY,0099-2240,NA,saltwater,marine
