uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000345320800003,"Species and Biogeochemical Cycles of Organic Phosphorus in Sediments From a River With Different Aquatic Plants Located in Huaihe River Watershed, China",INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,3,17,215-221,NA,2015,"Yuan, He Zhong | Pan, Wei | Ren, Li Jun | Liu, Eeng Feng | Shen, Ji | Geng, Qi Fang | An, Shu Qing",aquatic plant | sediments | organic phosphorus | species and biogeochemical cycles | P-31-NMR spectroscopy,10.1080/15226514.2013.876969,NA,AU0NT,1522-6514,NA,lake,freshwater
WOS:000232347600017,Phosphorus dynamics in water and sediments in urbanized and non-urbanized rivers in Southern Brazil,MARINE POLLUTION BULLETIN,9,50,965-974,SEP,2005,"Pagliosa, PR | Fonseca, A | Bosquilha, GE | Braga, ES | Barbosa, FAR",dissolved phosphorus | polyphosphate | sediments | urbanization | river | Brazil,10.1016/j.marpolbul.2005.04.005,NA,970YF,0025-326X,NA,lake,freshwater
WOS:000078814700011,Biotic uptake and release of phosphorus by a wetland sediment,ENVIRONMENTAL TECHNOLOGY,1,20,85-91,JAN,1999,"Khoshmanesh, A | Hart, BT | Duncan, A | Beckett, R",abiotic | acetate | biotic | uptake | release | glucose | phosphorus | poly-P bacteria | redox conditions | sediment | wetlands,NA,NA,170PJ,0959-3330,NA,lake,freshwater
WOS:000166139100033,Characterisation of phosphorus in sediments from waste stabilization ponds,WATER SCIENCE AND TECHNOLOGY,10-11,42,257-264,NA,2000,"Gomez, E | Paing, J | Casellas, C | Picot, B",fractionation | high rate algal pond | modeling | phosphorus | sediment | waste stabilisation pond,NA,NA,387TZ,0273-1223,NA,lake,freshwater
WOS:000074735800003,Increased bioavailability of sediment phosphorus due to silicate enrichment,WATER RESEARCH,7,32,2001-2008,JUL,1998,"Tuominen, L | Hartikainen, H | Kairesalo, T | Tallberg, P",adsorption | desorption | phosphorus | sediment | silicon,NA,NA,ZZ502,0043-1354,NA,lake,freshwater
WOS:000241706100009,Surfactant-sensitized malachite green method for trace determination of orthophosphate in aqueous solution,ANALYTICA CHIMICA ACTA,1,580,55-67,OCT 27,2006,"Huang, Xiao-Lan | Zhang, Jia-Zhong",orthophosphate determination | malachite green | interference | organic phosphorus | hydrolysis | silicate | arsenate | spectrophotometry | surfactant,10.1016/j.aca.2006.07.046,NA,100YM,0003-2670,NA,lake,freshwater
WOS:000345036000018,Redox potential and microbial functional gene diversity in wetland sediments under simulated warming conditions: implications for phosphorus mobilization,HYDROBIOLOGIA,1,743,221-235,JAN,2015,"Zhang, Zhijian | Wang, Hang | Zhou, Jizhong | Li, Hongyi | He, Zhili | Van Nostrand, Joy D. | Wang, Zhaode | Xu, Xinhua",Biogeochemical cycling | Functional gene | Warming | Freshwater wetland,10.1007/s10750-014-2039-6,NA,AT6FY,0018-8158,NA,lake,freshwater
WOS:A1997XK53700003,Effects of land use in the drainage area on phosphorus binding and mobility in the sediments of four drinking water reservoirs,HYDROBIOLOGIA,NA,345,21-38,FEB 14,1997,"Ulrich, KU",drainage area | reservoir | sediment composition | phosphorus | phosphate extraction,NA,NA,XK537,0018-8158,NA,lake,freshwater
WOS:000458224000016,An integrated mechanistic modeling of a facultative pond: Parameter estimation and uncertainty analysis,WATER RESEARCH,NA,151,170-182,MAR 15,2019,"Ho, Long T. | Alvarado, Andres | Larriva, Josue | Pompeu, Cassia | Goethals, Peter",Waste stabilization pond | Integrated mechanistic model | Sensitivity analysis | Identifiability analysis | Parameter estimation | Uncertainty analysis,10.1016/j.watres.2018.12.018,NA,HK8FE,0043-1354,NA,lake,freshwater
WOS:000432417400016,Mutual Dependence of Nitrogen and Phosphorus as Key Nutrient Elements: One Facilitates Dolichospermum flos-aquae to Overcome the Limitations of the Other,ENVIRONMENTAL SCIENCE & TECHNOLOGY,10,52,5653-5661,MAY 15,2018,"Wang, Siyang | Xiao, Jian | Wan, Lingling | Zhou, Zijun | Wang, Zhicong | Song, Chunlei | Zhou, Yiyong | Cao, Xiuyun",,10.1021/acs.est.7b04992,NA,GG1CQ,0013-936X,NA,lake,freshwater
