year,wos_wide_count
1990,690897
1991,711190
1992,725245
1993,767018
1994,806692
1995,864720
1996,908992
1997,943931
1998,951661
1999,982316
2000,992183
2001,988531
2002,1036512
2003,1083054
2004,1171676
2005,1242414
2006,1302096
2007,1365583
2008,1418425
2009,1490792
2010,1534367
2011,1608606
2012,1687346
2013,1783176
2014,1830810
2015,1887087
2016,1968506
2017,2027121
2018,2103367
2019,2240970
