uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000268138000038,Identification of Dissolved Nonreactive Phosphorus in Freshwater by Precipitation with Aluminum and Subsequent P-31 NMR Analysis,ENVIRONMENTAL SCIENCE & TECHNOLOGY,14,43,5391-5397,JUL 15,2009,"Reitzel, Kasper | Jensen, Henning S. | Flindt, Mogens | Andersen, Frede O.",,10.1021/es900994m,NA,472NE,0013-936X,NA,sediment,terrestrial
WOS:A1997XK53700003,Effects of land use in the drainage area on phosphorus binding and mobility in the sediments of four drinking water reservoirs,HYDROBIOLOGIA,NA,345,21-38,FEB 14,1997,"Ulrich, KU",drainage area | reservoir | sediment composition | phosphorus | phosphate extraction,NA,NA,XK537,0018-8158,NA,sediment,terrestrial
WOS:000462109200003,Preferential regeneration of P relative to C in a freshwater lake,CHEMOSPHERE,NA,222,15-21,MAY,2019,"Chen, Jingan | Zeng, Yan | Yu, Jia | Wang, Jingfu | Yang, Haiquan | Lu, Yaoting",P regeneration | TOC/P ratio | Suspended particulate matter | Sediment | Hongfeng Lake,10.1016/j.chemosphere.2019.01.088,NA,HQ0TZ,0045-6535,NA,sediment,terrestrial
WOS:000303306400030,Metabolic versatility of Gram-positive microbial isolates from contaminated river sediments,JOURNAL OF HAZARDOUS MATERIALS,NA,215,243-251,MAY 15,2012,"Narancic, Tanja | Djokic, Lidija | Kenny, Shane T. | O'Connor, Kevin E. | Radulovic, Vanja | Nikodinovic-Runic, Jasmina | Vasiljevic, Branka",Gram-positive | Biodegradation | Aromatic compound | Heavy metal | Biopolymer,10.1016/j.jhazmat.2012.02.059,NA,932QU,0304-3894,NA,sediment,terrestrial
WOS:000360401400008,Phosphorus release characteristics of sediments in Erhai Lake and their impact on water quality,ENVIRONMENTAL EARTH SCIENCES,5,74,3753-3766,SEP,2015,"Liu, Wenbin | Wang, Shengrui | Zhang, Li | Ni, Zhaokui | Zhao, Haichao | Jiao, LiXin",Sediment-water interface | Phosphorus release | Phosphorus fractionation | Water quality | Erhai Lake,10.1007/s12665-015-4715-x,NA,CQ2AJ,1866-6280,NA,sediment,terrestrial
WOS:000463374900024,Phosphorus mobility in dam reservoir affected by redox oscillations: An experimental study,JOURNAL OF ENVIRONMENTAL SCIENCES,NA,77,250-263,MAR,2019,"Rapin, Anne | Grybos, Malgorzata | Rabiet, Marion | Mourier, Brice | Deluchat, Veronique",Phosphorus | Sediment | Redox | Iron | Organic matter,10.1016/j.jes.2018.07.016,NA,HR7ZW,1001-0742,NA,sediment,terrestrial
WOS:A1995RE17800017,MICROBIAL ACTIVITY AND PHOSPHORUS DYNAMICS IN EUTROPHIC LAKE-SEDIMENTS ENRICHED WITH MICROCYSTIS COLONIES,FRESHWATER BIOLOGY,3,33,541-555,JUN,1995,"BRUNBERG, AK",,NA,NA,RE178,0046-5070,NA,sediment,terrestrial
WOS:000260102500046,Accumulation and Localization of Cesium in Edible Mushroom (Pleurotus ostreatus) Mycelia,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,20,56,9641-9646,OCT 22,2008,"Sugiyama, Hideo | Takahashi, Mitsuko N. | Terada, Hiroshi | Kuwahara, Chikako | Maeda, Chika | Anzai, Yojiro | Kato, Fumio",Accumulation | localization | cesium | potassium | mushroom | mycelium | Pleurotus ostreatus,10.1021/jf801269t,NA,361BM,0021-8561,NA,sediment,terrestrial
WOS:000263152300060,Study on P Forms in Extracellular Polymeric Substances in Enhanced Biological Phosphorus Removal Sludge by P-31-NMR Spectroscopy,SPECTROSCOPY AND SPECTRAL ANALYSIS,2,29,536-539,FEB,2009,Zhang Zhi-chao | Huang Xia | Yang Hai-jun | Xiao Kang | Luo Xiao | Sha Heng | Chen Yi-ming,P-31-NMR spectroscopy | Extracellular polymeric substances | Biological phosphorus removal | Phosphorus form,10.3964/j.issn.1000-0593(2009)02-0536-04,NA,404LC,1000-0593,NA,sediment,terrestrial
WOS:000244629100010,"Factors contributing to the internal loading of phosphorus from anoxic sediments in six Maine, USA, lakes",SCIENCE OF THE TOTAL ENVIRONMENT,2-3,373,534-541,FEB 15,2007,"Lake, Bjorn A. | Coolidge, Kyle M. | Norton, Stephen A. | Amirbahman, Aria",phosphorus | aluminum | sequential extraction | lake sediment | lake chemistry,10.1016/j.scitotenv.2006.12.021,NA,142DJ,0048-9697,NA,sediment,terrestrial
