uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000252162800015,Response of reactive phosphorus burial to the sedimentary transition from Cretaceous black shales to oceanic red beds in Southern Tibet,ACTA GEOLOGICA SINICA-ENGLISH EDITION,6,81,1012-1018,DEC,2007,Huang Yongjian | Wang Chengshan | Chen Xi,reactive phosphorus | black shale | oceanic red beds | Cretaceous | Southern Tibet | China,NA,NA,248OG,1000-9515,NA,marine,marine
WOS:A1985AJR4600008,PHOSPHORUS EXCHANGE IN MARINE MICROPLANKTON COMMUNITIES NEAR HAWAII,MARINE BIOLOGY,1,86,75-84,NA,1985,"SMITH, REH | HARRISON, WG | HARRIS, L",,NA,NA,AJR46,0025-3162,NA,marine,marine
WOS:A1995QF24900016,AN ECOSYSTEM-LEVEL EXPERIMENT ON NUTRIENT LIMITATION IN TEMPERATE COASTAL MARINE ENVIRONMENTS,MARINE ECOLOGY PROGRESS SERIES,1-3,116,171-179,JAN,1995,"OVIATT, C | DOERING, P | NOWICKI, B | REED, L | COLE, J | FRITHSEN, J",NUTRIENT LIMITATION | PRIMARY PRODUCTION | ENCLOSED MARINE ECOSYSTEM,NA,NA,QF249,0171-8630,NA,marine,marine
WOS:A1996TR32200038,Redox stabilization of the atmosphere and oceans by phosphorus-limited marine productivity,SCIENCE,5248,271,493-496,JAN 26,1996,"VanCappellen, P | Ingall, ED",,NA,NA,TR322,0036-8075,NA,marine,marine
WOS:A1995RP14200020,PHOSPHOLIPID IN PLANKTON SAMPLES FROM TOKYO BAY AND SAGAMI BAY,NIPPON SUISAN GAKKAISHI,4,61,588-595,JUL,1995,"OKU, O | KAMATANI, A",,NA,NA,RP142,0021-5392,NA,marine,marine
WOS:000292728400007,Atmospheric acidification of mineral aerosols: a source of bioavailable phosphorus for the oceans,ATMOSPHERIC CHEMISTRY AND PHYSICS,13,11,6265-6272,NA,2011,"Nenes, A. | Krom, M. D. | Mihalopoulos, N. | Van Cappellen, P. | Shi, Z. | Bougiatioti, A. | Zarmpas, P. | Herut, B.",,10.5194/acp-11-6265-2011,NA,792GE,1680-7316,NA,marine,marine
WOS:A1981LC63200008,THE DIAGENESIS OF PHOSPHORUS IN A NEARSHORE MARINE SEDIMENT,GEOCHIMICA ET COSMOCHIMICA ACTA,2,45,207-216,NA,1981,"KROM, MD | BERNER, RA",,NA,NA,LC632,0016-7037,NA,marine,marine
WOS:A1975AQ39900010,PHOSPHORUS QUOTA AND CHLOROPHYLL - CARBON RATIO IN MARINE PHYTOPLANKTON,LIMNOLOGY AND OCEANOGRAPHY,4,20,587-603,NA,1975,"TETT, P | COTTRELL, JC | TREW, DO | WOOD, BJB",,NA,NA,AQ399,0024-3590,NA,marine,marine
WOS:000281467500016,Microbial sequestration of phosphorus in anoxic upwelling sediments,NATURE GEOSCIENCE,8,3,557-561,AUG,2010,"Goldhammer, Tobias | Bruchert, Volker | Ferdelman, Timothy G. | Zabel, Matthias",,10.1038/ngeo913,NA,645NK,1752-0894,NA,marine,marine
WOS:000255237000025,Impact of fish farming on the distribution of phosphorus in sediments in the middle Adriatic area,MARINE POLLUTION BULLETIN,3,56,535-548,MAR,2008,"Matijevic, Slavica | Kuspilic, Grozdan | Kljakovic-Gaspic, Zorana | Bogner, Danijela",fish farming | phosphorus | sediment | SEDEX method | Adriatic Sea,10.1016/j.marpolbul.2007.11.017,NA,291ZV,0025-326X,NA,marine,marine
WOS:A1993LY81400003,A SIMPLE HEURISTIC MODEL OF NUTRIENT CYCLING IN AN ESTUARY,ESTUARINE COASTAL AND SHELF SCIENCE,2,37,145-159,AUG,1993,"KIMMERER, WJ | SMITH, SV | HOLLIBAUGH, JT",MODEL | NITROGEN | PHOSPHORUS | NUTRIENT LIMITATION | USA WEST COAST,NA,NA,LY814,0272-7714,NA,marine,marine
WOS:A1983PW73800004,UPTAKE AND RECYCLING OF SOLUBLE REACTIVE PHOSPHORUS BY MARINE MICROPLANKTON,MARINE ECOLOGY PROGRESS SERIES,2,10,127-135,NA,1983,"HARRISON, WG",,NA,NA,PW738,0171-8630,NA,marine,marine
WOS:A1983QH09900004,"STOICHIOMETRY OF CARBON, NITROGEN, AND PHOSPHORUS IN MARINE PARTICULATE MATTER",DEEP-SEA RESEARCH PART A-OCEANOGRAPHIC RESEARCH PAPERS,1,30,31-46,NA,1983,"COPINMONTEGUT, C | COPINMONTEGUT, G",,NA,NA,QH099,0198-0149,NA,marine,marine
WOS:A1964WU65900008,UPTAKE AND RELEASE OF PHOSPHORUS BY A BENTHIC MARINE AMPHIPOD,LIMNOLOGY AND OCEANOGRAPHY,2,9,235-242,NA,1964,"JOHANNES, RE",,NA,NA,WU659,0024-3590,NA,marine,marine
WOS:A1957XG17400006,A COLORIMETRIC PROCEDURE FOR PHOSPHORUS IN FEEDS AND MARINE PRODUCTS,JOURNAL OF THE ASSOCIATION OF OFFICIAL AGRICULTURAL CHEMISTS,4,40,1056-1059,NA,1957,"GERSTEN, B",,NA,NA,XG174,NA,NA,marine,marine
WOS:A19643064C00193,PHOSPHORUS EXCRETION + BODY SIZE IN MARINE ANIMALS - MICROZOOPLANKTON + NUTRIENT REGENERATION,SCIENCE,364,146,923-&,NA,1964,"JOHANNES, RE",,NA,NA,3064C,0036-8075,NA,marine,marine
WOS:000396128800040,Evolution of the global phosphorus cycle,NATURE,7637,541,386-+,JAN 19,2017,"Reinhard, Christopher T. | Planavsky, Noah J. | Gill, Benjamin C. | Ozaki, Kazumi | Robbins, Leslie J. | Lyons, Timothy W. | Fischer, Woodward W. | Wang, Chunjiang | Cole, Devon B. | Konhauser, Kurt O.",,10.1038/nature20772,NA,EN6QP,0028-0836,NA,marine,marine
