uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000275563200012,Effects of ions and phosphates on alkaline phosphatase activity in aerobic activated sludge system,BIORESOURCE TECHNOLOGY,10,101,3394-3399,MAY,2010,"Xie, Chunsheng | Lu, Rongjie | Huang, Yan | Wang, Qian | Xu, Xinhua",Wastewater treatment | Activated sludge | Alkaline phosphatase | Enzyme kinetics | Metal ions,10.1016/j.biortech.2009.12.047,NA,568YS,0960-8524,NA,soil,terrestrial
WOS:000358130500008,Comparison of Phosphorus Forms in Three Extracts of Dairy Feces by Solution P-31 NMR Analysis,COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,13,46,1698-1712,JUL 20,2015,"Cade-Menun, Barbara J. | He, Zhongqi | Dou, Zhengxia",excreta | phosphorus | extraction | dithionite | Animal manure,10.1080/00103624.2015.1047512,NA,CN0UX,0010-3624,NA,soil,terrestrial
WOS:000357355500008,Characterization of biogenic phosphorus in outflow water from constructed wetlands,GEODERMA,NA,257,58-66,NOV,2015,"Jorgensen, C. | Inglett, K. S. | Jensen, Henning S. | Reitzel, Kasper | Reddy, K. R.",Organic phosphorus | Phosphonate | Polyphosphate | Stormwater treatment areas,10.1016/j.geoderma.2015.01.019,NA,CM0GD,0016-7061,NA,soil,terrestrial
WOS:000262483500039,"Phosphorus Composition in Sediments from Seven Different Trophic Lakes, China: A Phosphorus-31 NMR Study",JOURNAL OF ENVIRONMENTAL QUALITY,1,38,353-359,JAN-FEB,2009,"Zhang, Runyu | Wu, Fengchang | He, Zhongqi | Zheng, Jian | Song, Baoan | Jin, Linhong",,10.2134/jeq2007.0616,NA,394WJ,0047-2425,NA,soil,terrestrial
WOS:000464942500028,Immobilizing unicellular microalga on pellet-forming filamentous fungus: Can this provide new insights into the remediation of arsenic from contaminated water?,BIORESOURCE TECHNOLOGY,NA,284,231-239,JUL,2019,"Li, Bin | Zhang, Ting | Yang, Zhaoguang",Arsenic species | Aspergillus oryzae | Chlorella vulgaris | Fungal-algal pellet | Species transformation,10.1016/j.biortech.2019.03.128,NA,HU0DV,0960-8524,NA,soil,terrestrial
WOS:000468253500034,Extraction and quantification of polyphosphates in activated sludge from waste water treatment plants by P-31 NMR spectroscopy,WATER RESEARCH,NA,157,346-355,JUN 15,2019,"Staal, Line Boisen | Petersen, Anne Boisen | Jorgensen, Charlotte A. | Nielsen, Ulla Gro | Nielsen, Per Halkaejr | Reitzel, Kasper",Polyphosphate | Identification | Quantification | P-31 | Solid state NMR | EBPR | Biological waste water treatment,10.1016/j.watres.2019.03.065,NA,HY6PZ,0043-1354,NA,soil,terrestrial
WOS:000242988600005,Biogenic phosphorus in oligotrophic mountain lake sediments: Differences in composition measured with NMR spectroscopy,WATER RESEARCH,20,40,3705-3712,DEC,2006,"Ahlgren, Joakim | Reitzel, Kasper | Danielsson, Rolf | Gogoll, Adolf | Rydin, Emil",phosphorus species | P-31-NMR spectroscopy | reservoirs | oligotrophication | method validation | P-31-NMR accuracy,10.1016/j.watres.2006.09.006,NA,119CA,0043-1354,NA,soil,terrestrial
WOS:000315473000005,Impact of long-term nitrogen fertilization and rotation with soybean on the diversity and phosphorus metabolism of indigenous arbuscular mycorrhizal fungi within the roots of maize (Zea mays L.),AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,164,53-61,JAN 1,2013,"Tian, H. | Drijber, R. A. | Zhang, J. L. | Li, X. L.",Arbuscular mycorrhizal fungi | Agriculture | Maize | Crop rotation | Arbuscular mycorrhizal diversity | N fertilizer,10.1016/j.agee.2012.09.007,NA,097KM,0167-8809,NA,soil,terrestrial
WOS:000170086500016,Nutrient transfer in arbuscular mycorrhizas: how are fungal and plant processes integrated?,AUSTRALIAN JOURNAL OF PLANT PHYSIOLOGY,7,28,683-694,NA,2001,"Smith, SE | Dickson, S | Smith, FA",membrane transporters | phosphorus | sugars,NA,NA,456MP,0310-7841,NA,soil,terrestrial
WOS:000410019500004,"Phosphorus fertilization, soil stratification, and potential water quality impacts",JOURNAL OF SOIL AND WATER CONSERVATION,5,72,417-424,SEP-OCT,2017,"Smith, D. R. | Huang, C. | Haney, R. L.",cover crops | fertilizer management | phosphorus stratification | runoff,10.2489/jswc.72.5.417,NA,FG3EL,0022-4561,NA,soil,terrestrial
WOS:000256460400028,"Complete genome sequence of Nitrosospira multiformis, an ammonia-oxidizing bacterium from the soil environment",APPLIED AND ENVIRONMENTAL MICROBIOLOGY,11,74,3559-3572,JUN,2008,"Norton, Jeanette M. | Klotz, Martin G. | Stein, Lisa Y. | Arp, Daniel J. | Bottomley, Peter J. | Chain, Patrick S. G. | Hauser, Loren J. | Land, Miriam L. | Larimer, Frank W. | Shin, Maria W. | Starkenburg, Shawn R.",,10.1128/AEM.02722-07,NA,309KX,0099-2240,NA,soil,terrestrial
WOS:000439517000006,Phosphorus- and nitrogen-acquisition strategies in two Bossiaea species (Fabaceae) along retrogressive soil chronosequences in south-western Australia,PHYSIOLOGIA PLANTARUM,3,163,323-343,JUL,2018,"Abrahao, Anna | Ryan, Megan H. | Laliberte, Etienne | Oliveira, Rafael S. | Lambers, Hans",,10.1111/ppl.12704,NA,GN9KK,0031-9317,NA,soil,terrestrial
WOS:000223987000026,Effects of aeration on water quality from septic system leachfields,JOURNAL OF ENVIRONMENTAL QUALITY,5,33,1828-1838,SEP-OCT,2004,"Potts, DA | Gorres, JH | Nicosia, EL | Amador, JA",,NA,NA,855PU,0047-2425,NA,soil,terrestrial
WOS:000245168000035,"Deefgea rivuli gen. nov., sp nov., a member of the class Betaproteobacteria",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,NA,57,639-645,MAR,2007,"Stackebrandt, Erko | Lang, Elke | Cousin, Sylvie | Paeuker, Orsola | Brambilla, Evelyne | Kroppenstedt, Reiner | Luensdorf, Heinrich",,10.1099/ijs.0.64771-0,NA,149SX,1466-5026,NA,soil,terrestrial
WOS:000429303700007,Biochemistry and Physiology of Heavy Metal Resistance and Accumulation in Euglena,"EUGLENA: BIOCHEMISTRY, CELL AND MOLECULAR BIOLOGY",NA,979,91-121,NA,2017,"Moreno-Sanchez, Rafael | Rodriguez-Enriquez, Sara | Jasso-Chavez, Ricardo | Saavedra, Emma | Garcia-Garcia, Jorge D.",Heavy metals accumulation | Bioremediation | Phytochelatins | Polyphosphates,10.1007/978-3-319-54910-1_6,NA,BJ9IZ,0065-2598,978-3-319-54908-8,soil,terrestrial
WOS:000449521400029,The Hebeloma cylindrosporum HcPT2 Pi transporter plays a key role in ectomycorrhizal symbiosis,NEW PHYTOLOGIST,4,220,1185-1199,DEC,2018,"Becquer, Adeline | Garcia, Kevin | Amenc, Laurie | Rivard, Camille | Dore, Jeanne | Trives-Segura, Carlos | Szponarski, Wojciech | Russet, Sylvie | Baeza, Yoan | Lassalle-Kaiser, Benedikt | Gay, Gilles | Zimmermann, Sabine Dagmar | Plassard, Claude",ectomycorrhizal (ECM) fungus | overexpression | P-32 labeling | phosphate transporter | Pinus pinaster | RNA interference | X-ray fluorescence mapping,10.1111/nph.15281,NA,GZ6DB,0028-646X,NA,soil,terrestrial
WOS:A1994NQ76400002,SIDEROPHORE ACTIVITY OF MYOINOSITOL HEXAKISPHOSPHATE IN PSEUDOMONAS-AERUGINOSA,JOURNAL OF BACTERIOLOGY,12,176,3455-3459,JUN,1994,"SMITH, AW | POYNER, DR | HUGHES, HK | LAMBERT, PA",,NA,NA,NQ764,0021-9193,NA,soil,terrestrial
WOS:000339695900034,Elemental stoichiometry of Fungi and Bacteria strains from grassland leaf litter,SOIL BIOLOGY & BIOCHEMISTRY,NA,76,278-285,SEP,2014,"Mouginot, Celine | Kawamura, Rika | Matulich, Kristin L. | Berlemont, Renaud | Allison, Steven D. | Amend, Anthony S. | Martiny, Adam C.",Nutrient stoichiometry | Growth rate hypothesis | Redfield | C:N:P ratios | Resource allocation,10.1016/j.soilbio.2014.05.011,NA,AM2QM,0038-0717,NA,soil,terrestrial
WOS:000509438100088,The bacterial community structures in response to the gut passage of earthworm (Eisenia fetida) feeding on cow dung and domestic sludge: Illumina high-throughput sequencing-based data analysis,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,NA,190,,MAR 1,2020,"Hu, Jian | Zhao, Haitao | Wang, Yue | Yin, Zhifeng | Kang, Yijun",Bacterial community | Earthworm | Gut passage | Illumina sequencing,10.1016/j.ecoenv.2019.110149,NA,KF7SE,0147-6513,NA,soil,terrestrial
WOS:000386603800028,Insights into functional genes and taxonomical/phylogenetic diversity of microbial communities in biological heap leaching system and their correlation with functions,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,22,100,9745-9756,NOV,2016,"Xiao, Yunhua | Liu, Xueduan | Liang, Yili | Niu, Jiaojiao | Zhang, Xian | Ma, Liyuan | Hao, Xiaodong | Gu, Yabin | Yin, Huaqun",Biological heap leaching systems | Microbial community function | Taxonomical/phylogenetic and functional diversity | GeoChip 5.0 | 16S rRNA gene sequencing,10.1007/s00253-016-7819-7,NA,EA4SE,0175-7598,NA,soil,terrestrial
WOS:000309431200027,Biogenic Phosphorus Compounds in Sediment and Suspended Particles in a Shallow Eutrophic Lake: A P-31-Nuclear Magnetic Resonance (P-31 NMR) Study,ENVIRONMENTAL SCIENCE & TECHNOLOGY,19,46,10572-10578,OCT 2,2012,"Shinohara, Ryuichiro | Imai, Akio | Kawasaki, Nobuyuki | Komatsu, Kazuhiro | Kohzu, Ayato | Miura, Shingo | Sano, Tomoharu | Satou, Takayuki | Tomioka, Noriko",,10.1021/es301887z,NA,015FG,0013-936X,NA,soil,terrestrial
WOS:000401674400004,Responses of Bacterial Communities to CuO Nanoparticles in Activated Sludge System,ENVIRONMENTAL SCIENCE & TECHNOLOGY,10,51,5368-5376,MAY 16,2017,"Wang, Xiaohui | Li, Jing | Liu, Rui | Hai, Reti | Zou, Dexun | Zhu, Xiaobiao | Luo, Nan",,10.1021/acs.est.6b06137,NA,EV3QO,0013-936X,NA,soil,terrestrial
WOS:000289297100005,Tit for tat? A mycorrhizal fungus accumulates phosphorus under low plant carbon availability,FEMS MICROBIOLOGY ECOLOGY,2,76,236-244,MAY,2011,"Hammer, Edith C. | Pallon, Jan | Wallander, Hakan | Olsson, Pal Axel",arbuscular mycorrhiza (AM) | symbiotic C-P exchange | nutrient accumulation | phosphorus | carbon limitation,10.1111/j.1574-6941.2011.01043.x,NA,747CE,0168-6496,NA,soil,terrestrial
WOS:000326214900014,Aeromonas salmonicida Ati2 is an effector protein of the type three secretion system,MICROBIOLOGY-SGM,NA,159,1937-1945,SEP,2013,"Dallaire-Dufresne, Stephanie | Barbeau, Xavier | Sarty, Darren | Tanaka, Katherine H. | Denoncourt, Alix M. | Laguee, Patrick | Reith, Michael E. | Charette, Steve J.",,10.1099/mic.0.067959-0,NA,242CL,1350-0872,NA,soil,terrestrial
WOS:A1991GA70900006,ACQUISITION OF PHOSPHORUS AND COPPER BY VA-MYCORRHIZAL HYPHAE AND ROOT-TO-SHOOT TRANSPORT IN WHITE CLOVER,PLANT AND SOIL,1,136,49-57,SEP,1991,"LI, XL | MARSCHNER, H | GEORGE, E",COPPER | GLOMUS-MOSSEAE | HYPHAL UPTAKE | PHOSPHATE | TRIFOLIUM-REPENS | VA-MYCORRHIZA | WHITE CLOVER,NA,NA,GA709,0032-079X,NA,soil,terrestrial
WOS:000222854300002,Possible involvement of hyphal phosphatase in phosphate efflux from intraradical hyphae isolated from mycorrhizal roots colonized by Gigaspora margarita,MYCOLOGICAL RESEARCH,NA,108,610-615,JUN,2004,"Kojima, T | Saito, M",,10.1017/S0953756204009980,NA,840JJ,0953-7562,NA,soil,terrestrial
WOS:000242007100004,Saprotrophic fungi transform organic phosphorus from spruce needle litter,SOIL BIOLOGY & BIOCHEMISTRY,12,38,3372-3379,DEC,2006,"Koukol, Ondrej | Novak, Frantisek | Hrabal, Richard | Vosatka, Miroslav",P-31 NMR | decomposition | organic phosphorus | polyphosphates | phosphonates | Picea abies | Setulipes androsaceus,10.1016/j.soilbio.2006.05.007,NA,105CO,0038-0717,NA,soil,terrestrial
WOS:000271272900013,Controlled Precipitation of Sparingly Soluble Phosphate Salts Using Enzymes. II. Precipitation of Struvite,CRYSTAL GROWTH & DESIGN,11,9,4642-4652,NOV,2009,"Kofina, Aikaterini N. | Lioliou, Maria G. | Paraskeva, Christakis A. | Klepetsanis, Pavlos G. | Ostvold, Terje | Koutsoukos, Petros G.",,10.1021/cg900090e,NA,512TG,1528-7483,NA,soil,terrestrial
WOS:000233235100008,Expression profiles of a phosphate transporter gene (GmosPT) from the endomycorrhizal fungus Glomus mosseae,MYCORRHIZA,8,15,620-627,DEC,2005,"Benedetto, A | Magurno, F | Bonfante, P | Lanfranco, L",AM fungi | phosphate transporters | Glomus mosseae | symbiosis,10.1007/s00572-005-0006-9,NA,983MC,0940-6360,NA,soil,terrestrial
WOS:000346907600086,Subcellular Nutrient Element Localization and Enrichment in Ecto- and Arbuscular Mycorrhizas of Field-Grown Beech and Ash Trees Indicate Functional Differences,PLOS ONE,12,9,,DEC 8,2014,"Seven, Jasmin | Polle, Andrea",,10.1371/journal.pone.0114672,NA,AX4MX,1932-6203,NA,soil,terrestrial
WOS:000242170300004,Effects of external phosphate concentration on glucose-6-phosphate dehydrogenase gene expression in the arbuscular mycorrhizal fungus Glomus intraradices,CANADIAN JOURNAL OF MICROBIOLOGY,9,52,823-830,SEP,2006,"Stewart, L. I. | Jabaji-Hare, S. | Driscoll, B. T.",arbuscular mycorrhizal fungi | phosphorus | nutrient uptake | glucose-6-phosphate dehydrogenase | gene expression,10.1139/W06-038,NA,107KO,0008-4166,NA,soil,terrestrial
WOS:000328225600007,Phosphorus dynamics in sediments of a eutrophic lake derived from P-31 nuclear magnetic resonance spectroscopy,MARINE AND FRESHWATER RESEARCH,1,65,70-80,NA,2014,"Oezkundakci, Deniz | Hamilton, David P. | McDowell, Richard | Hill, Stefan",internal loading | Lake Okaro | sedimentation | temporal variability,10.1071/MF13033,NA,269EZ,1323-1650,NA,soil,terrestrial
WOS:000239655100003,Characterization of phosphorus in sequential extracts from lake sediments using P-31 nuclear magnetic resonance spectroscopy,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,8,63,1686-1699,AUG,2006,"Reitzel, Kasper | Ahlgren, Joakim | Gogoll, Adolf | Jensen, Henning S. | Rydin, Emil",,10.1139/F06-070,NA,072EG,0706-652X,NA,soil,terrestrial
WOS:000414411700002,Physiological and genomic insights into the lifestyle of arsenite-oxidizing Herminiimonas arsenitoxidans,SCIENTIFIC REPORTS,NA,7,,NOV 3,2017,"Koh, Hyeon-Woo | Hur, Moonsuk | Kang, Myung-Suk | Ku, Youn-Bong | Ghai, Rohit | Park, Soo-Je",,10.1038/s41598-017-15164-4,NA,FL7FI,2045-2322,NA,soil,terrestrial
WOS:000423245500090,The fate of cyanuric acid in biological wastewater treatment system and its impact on biological nutrient removal,JOURNAL OF ENVIRONMENTAL MANAGEMENT,NA,206,901-909,JAN 15,2018,"An, Hongxue | Liu, Jian | Li, Xiaoming | Yang, Qi | Wang, Dongbo | Xie, Ting | Zhao, Jianwei | Xu, Qiuxiang | Chen, Fei | Wang, Yali | Yi, Kaixin | Sun, Jian | Tao, Ziletao | Zeng, Guangming",Cyanuric acid | Biodegradation | Biological nutrient removal | Microbial community,10.1016/j.jenvman.2017.11.073,NA,FT6DW,0301-4797,NA,soil,terrestrial
