uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:A1990FA34300006,"THE BLY CREEK ECOSYSTEM STUDY - PHOSPHORUS TRANSPORT WITHIN A EUHALINE SALT-MARSH BASIN, NORTH INLET, SOUTH-CAROLINA",NETHERLANDS JOURNAL OF SEA RESEARCH,1,27,73-80,DEC,1990,"DAME, RF | WOLAVER, TG | WILLIAMS, TM | SPURRIER, JD | MILLER, AB",,NA,NA,FA343,0077-7579,NA,saltwater,marine
WOS:000228191800040,"Synthesis of highly stabilized phosphorus ylides from acetylenic esters, CH-acids and triphenylphosphine in aqueous media",ASIAN JOURNAL OF CHEMISTRY,1,17,297-300,JAN-MAR,2005,"Ramazani, A | Dolatyari, L | Kazemizadeh, AR | Ahmadi, E",CH-acid | triphenylphosphine | highly stabilized phosphorus ylide | viny triphenylphosphonium salt | water | enviromnent-friendly,NA,NA,913YP,0970-7077,NA,saltwater,marine
WOS:000085352600004,Synthesis of new water-soluble phosphonium salts and their Wittig reactions in water,JOURNAL OF THE CHEMICAL SOCIETY-PERKIN TRANSACTIONS 1,4,NA,505-513,NA,2000,"Russell, MG | Warren, S",,NA,NA,284VB,0300-922X,NA,saltwater,marine
WOS:000257982400028,Assessment of the nutrient removal performance in integrated constructed wetlands with the self-organizing map,WATER RESEARCH,13,42,3519-3527,JUL,2008,"Zhang, Liang | Scholz, Miklas | Mustafa, Atif | Harrington, Rory",ammonia-nitrogen | farmyard runoff | modeling | self-organizing map | chloride | soluble reactive phosphorus,10.1016/j.watres.2008.04.027,NA,330ZU,0043-1354,NA,saltwater,marine
WOS:A1977DG19300001,FLAX POND ECOSYSTEM STUDY - EXCHANGES OF PHOSPHORUS BETWEEN A SALT-MARSH AND COASTAL WATERS OF LONG ISLAND SOUND,MARINE BIOLOGY,1,41,1-6,NA,1977,"WOODWELL, GM | WHITNEY, DE",,NA,NA,DG193,0025-3162,NA,saltwater,marine
WOS:A1989CH23900003,THE EFFECT OF WATER AND SALT STRESSES ON THE PHOSPHORUS-CONTENT AND ACID-PHOSPHATASE-ACTIVITY IN OILSEED RAPE,ACTA SOCIETATIS BOTANICORUM POLONIAE,1,58,47-57,NA,1989,"FLASINSKI, S | ZAMORSKI, R | KOTOWSKA, U",,NA,NA,CH239,0001-6977,NA,saltwater,marine
WOS:000454173100006,"Brackish water irrigation on the characteristics of carbon, nitrogen and phosphorus nutrients in the soil nearby crop roots",EMIRATES JOURNAL OF FOOD AND AGRICULTURE,10,30,863-872,OCT,2018,"Li, Yun | Xie, Jiancang | Jiang, Rengui",Brackish water | Carbon and nitrogen and phosphorus | Irrigation | Nutrients crops | Root zone | Soil,10.9755/ejfa.2018.v30.i10.1830,NA,HF3ZN,2079-052X,NA,saltwater,marine
WOS:000336288800012,Soil Phosphorus Dynamics and Saltwater Intrusion in a Florida Estuary,WETLANDS,3,34,535-544,JUN,2014,"Williams, Asher A. | Lauer, Nathan T. | Hackney, Courtney T.",Estuary | Saltwater intrusion | Phosphate | Sulfate reduction,10.1007/s13157-014-0520-7,NA,AH7CA,0277-5212,NA,saltwater,marine
WOS:000458845600002,Soils in transition: saltwater intrusion alters soil chemistry in agricultural fields,BIOGEOCHEMISTRY,3,142,339-356,FEB,2019,"Tully, Katherine L. | Weissman, Danielle | Wyner, W. Jesse | Miller, Jarrod | Jordan, Thomas",Saltwater intrusion | Agriculture | Chesapeake Bay | Phosphorus | Carbon | Iron | Aluminum,10.1007/s10533-019-00538-9,NA,HL6LL,0168-2563,NA,saltwater,marine
WOS:000406333700007,Rapid and Intense Phosphate Desorption Kinetics When Saltwater Intrudes into Carbonate Rock,ESTUARIES AND COASTS,5,40,1301-1313,SEP,2017,"Flower, Hilary | Rains, Mark | Lewis, David | Zhang, Jia-Zhong",Florida Everglades | Groundwater | Submarine groundwater discharge,10.1007/s12237-017-0228-z,NA,FB7PY,1559-2723,NA,saltwater,marine
