uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:000188115300073,"Use of stable-isotope probing, full-cycle rRNA analysis, and fluorescence in situ hybridization-microautoradiography to study a methanol-fed denitrifying microbial community",Applied and Environmental Microbiology,Applied and Environmental...,2004,NA,"ginige_mp,hugenholtz_p,daims_h,wagner_m,keller_j,blackall_ll"
WOS:000260016200010,The secret to achieving reliable biological phosphorus removal,Water Science and Technology,Water Science and...,2008,"acetate,biological phosphorus removal,glycogen accumulating organisms (gao),polyphosphate accumulating organisms (pao),propionate",thomas_m_p
WOS:000296760200008,Effect of Elevated Salt Concentrations on the Aerobic Granular Sludge Process: Linking Microbial Activity with Microbial Community Structure,Applied and Environmental Microbiology,Applied and Environmental...,2011,NA,"bassin_j_p,pronk_m,muyzer_g,kleerebezem_r,dezotti_m,van_loosdrecht_m_c_m"
WOS:000333612000034,Evaluating the main and side effects of high salinity on aerobic granular sludge,Applied Microbiology and Biotechnology,Applied Microbiology and...,2014,"aerobic granular sludge,salt,nitrite inhibition,biological phosphate removal,accumulibacter sp,wastewater treatment,nitrous oxide","pronk_m,bassin_j_p,de_kreuk_m_k,kleerebezem_r,van_loosdrecht_m_c_m"
WOS:000427597800001,Effect of Salt on the Metabolism of 'Candidatus Accumulibacter' Clade I and II,Frontiers in Microbiology,Frontiers in Microbiology,2018,"water scarcity,saline wastewater,enhanced biological phosphorus removal,phosphate-accumulating organism (pao),'candidatus accumulibacter phosphatis' clade i and ii","wang_zhongwei,dunne_aislinn,van_loosdrecht_mark_c_m,saikaly_pascal_e"
WOS:000427697900010,Polyphosphate-Accumulating Bacteria: Potential Contributors to Mineral Dissolution in the Oral Cavity,Applied and Environmental Microbiology,Applied and Environmental...,2018,"oral biofilms,polyphosphate,dental caries","breiland_ashley_a,flood_beverly_e,nikrad_julia,bakarich_john,husman_matthew,rhee_taekhyun,jones_robert_s,bailey_jake_v"
