uid,category_str,count
WOS:000255681600002,wwt,1
WOS:000255883600014,wwt,1
WOS:000256236200014,wwt,1
WOS:000256335400001,wwt,1
WOS:000256335400002,wwt,1
WOS:000256569600003,wwt,1
WOS:000256654600024,wwt,1
WOS:000256754000004,wwt,1
WOS:000256961300002,"wwt,terrestrial",2
WOS:000257051900012,wwt,1
WOS:000257464500018,wwt,1
WOS:000257649100038,"wwt,freshwater",2
WOS:000257715500008,wwt,1
WOS:000257982400018,wwt,1
WOS:000257993800014,wwt,1
WOS:000258267700007,wwt,1
WOS:000258485600008,wwt,1
WOS:000258485600023,wwt,1
WOS:000259147900020,"wwt,terrestrial,freshwater",3
WOS:000259512900008,wwt,1
WOS:000259522800020,wwt,1
WOS:000259753000019,wwt,1
WOS:000259781400004,wwt,1
WOS:000260016200010,"wwt,marine",2
WOS:000260016200023,wwt,1
WOS:000260051300025,wwt,1
WOS:000260113200019,wwt,1
WOS:000260723000031,wwt,1
WOS:000261127900003,wwt,1
WOS:000262571700014,"wwt,freshwater",2
WOS:000262750000013,wwt,1
WOS:000263435800015,wwt,1
WOS:000263595500022,wwt,1
WOS:000263617600010,wwt,1
WOS:000263772800009,wwt,1
WOS:000263785300008,wwt,1
WOS:000263933200001,wwt,1
WOS:000264344000004,wwt,1
WOS:000264549400036,wwt,1
WOS:000265787500005,"wwt,freshwater",2
WOS:000266468500010,wwt,1
WOS:000266752200024,wwt,1
WOS:000266924700002,wwt,1
WOS:000267312900009,wwt,1
WOS:000267882000003,wwt,1
WOS:000268138000045,wwt,1
WOS:000268376100014,wwt,1
WOS:000269849000001,wwt,1
WOS:000270913300016,wwt,1
WOS:000271005300024,wwt,1
WOS:000271439600017,wwt,1
WOS:000271664600031,"wwt,freshwater",2
WOS:000272452900005,wwt,1
WOS:000272500800003,wwt,1
WOS:000272582500019,wwt,1
WOS:000272830700020,wwt,1
WOS:000272917200045,wwt,1
WOS:000273001700020,wwt,1
WOS:000273182500009,wwt,1
WOS:000274271400008,wwt,1
WOS:000274707600031,wwt,1
WOS:000275644500067,wwt,1
WOS:000275706600027,wwt,1
WOS:000275766400016,wwt,1
WOS:000275999800029,wwt,1
WOS:000276125500017,wwt,1
WOS:000276857300018,wwt,1
WOS:000276973400018,wwt,1
WOS:000277746500001,wwt,1
WOS:000277817300007,wwt,1
WOS:000277882000022,wwt,1
WOS:000278415300007,wwt,1
WOS:000279200600035,wwt,1
WOS:000279517400012,wwt,1
WOS:000279517700002,wwt,1
WOS:000280633400017,wwt,1
WOS:000281176200016,wwt,1
WOS:000281638900024,wwt,1
WOS:000282768800028,wwt,1
WOS:000283190300006,wwt,1
WOS:000283839600007,wwt,1
WOS:000283843900028,wwt,1
WOS:000283910600010,wwt,1
WOS:000283910600018,wwt,1
WOS:000284248300040,wwt,1
WOS:000285631000012,wwt,1
WOS:000286499600022,wwt,1
WOS:000286499600023,wwt,1
WOS:000286782700066,wwt,1
WOS:000287106800029,"wwt,terrestrial",2
WOS:000287259400018,wwt,1
WOS:000287589700005,"wwt,terrestrial,freshwater,marine",4
WOS:000287852900013,"wwt,terrestrial,marine",3
WOS:000288419900016,wwt,1
WOS:000288528000013,wwt,1
WOS:000288637000008,wwt,1
WOS:000288841500049,wwt,1
WOS:000289497600016,wwt,1
WOS:000289837000009,wwt,1
WOS:000290020000016,wwt,1
WOS:000290406200008,wwt,1
WOS:000290431500006,wwt,1
WOS:000291125800024,wwt,1
WOS:000291252500014,wwt,1
WOS:000291252500015,wwt,1
WOS:000292377700003,wwt,1
WOS:000292947800004,wwt,1
WOS:000292975600001,"terrestrial,freshwater",2
WOS:000293632500001,marine,1
WOS:000293684700017,"terrestrial,freshwater",2
WOS:000294277100010,wwt,1
WOS:000294277100078,wwt,1
WOS:000294396100011,wwt,1
WOS:000295386800010,wwt,1
WOS:000295386800033,wwt,1
WOS:000295386800037,wwt,1
WOS:000295386800042,wwt,1
WOS:000296760200008,"wwt,marine",2
WOS:000296760200018,wwt,1
WOS:000296826200030,wwt,1
WOS:000297490500038,wwt,1
WOS:000298273600015,wwt,1
WOS:000298762900012,wwt,1
WOS:000300304100001,wwt,1
WOS:000300657900034,wwt,1
WOS:000301155800004,wwt,1
WOS:000301400500025,wwt,1
WOS:000301630200028,wwt,1
WOS:000303348800046,wwt,1
WOS:000303385900035,wwt,1
WOS:000303606500008,wwt,1
WOS:000304047800002,wwt,1
WOS:000304585300017,wwt,1
WOS:000305435500007,wwt,1
WOS:000305435500013,wwt,1
WOS:000305451400005,wwt,1
WOS:000305467100009,wwt,1
WOS:000306075100001,"wwt,terrestrial",2
WOS:000306683500009,wwt,1
WOS:000306977800004,wwt,1
WOS:000308996900007,wwt,1
WOS:000309071800020,wwt,1
WOS:000309185600011,wwt,1
WOS:000309299300027,wwt,1
WOS:000309299300053,wwt,1
WOS:000309371600010,wwt,1
WOS:000309446000017,wwt,1
WOS:000310112500001,wwt,1
WOS:000310763600011,wwt,1
WOS:000310822200003,terrestrial,1
WOS:000312340500004,wwt,1
WOS:000312926400017,wwt,1
WOS:000312945800005,wwt,1
WOS:000313786400018,wwt,1
WOS:000313806400016,wwt,1
WOS:000314429800021,wwt,1
WOS:000315324900012,wwt,1
WOS:000315454500025,wwt,1
WOS:000315977000004,wwt,1
WOS:000316032100019,"wwt,terrestrial",2
WOS:000316032300051,wwt,1
WOS:000316726400011,wwt,1
WOS:000317168900008,wwt,1
WOS:000317252900005,wwt,1
WOS:000317813400036,wwt,1
WOS:000318208500005,wwt,1
WOS:000318887800016,wwt,1
WOS:000319020900013,wwt,1
WOS:000319333600010,wwt,1
WOS:000319652400016,wwt,1
WOS:000319873300013,wwt,1
WOS:000321313800026,wwt,1
WOS:000321336200014,wwt,1
WOS:000321558900008,wwt,1
WOS:000321723100010,wwt,1
WOS:000321723100014,wwt,1
WOS:000322886600019,wwt,1
WOS:000323142000007,wwt,1
WOS:000323239800028,wwt,1
WOS:000323593900019,wwt,1
WOS:000324280100013,wwt,1
WOS:000324566400048,wwt,1
WOS:000324631100009,wwt,1
WOS:000325739100005,wwt,1
WOS:000326123600016,"wwt,terrestrial",2
WOS:000326768300032,"wwt,freshwater",2
WOS:000326905400047,wwt,1
WOS:000327108000002,wwt,1
WOS:000327451800006,wwt,1
WOS:000327911700007,"wwt,freshwater",2
WOS:000328006200006,wwt,1
WOS:000328406700001,wwt,1
WOS:000329274900007,wwt,1
WOS:000329274900008,"wwt,freshwater,marine",3
WOS:000329274900009,"wwt,freshwater",2
WOS:000329504800006,"terrestrial,freshwater",2
WOS:000331781900005,wwt,1
WOS:000331879900011,wwt,1
WOS:000332446100002,wwt,1
WOS:000333612000034,"wwt,marine",2
