uid,category_str,count
WOS:000170836200008,freshwater,1
WOS:000171188700041,terrestrial,1
WOS:000171362800003,terrestrial,1
WOS:000171385400005,terrestrial,1
WOS:000171412100011,freshwater,1
WOS:000171528100006,terrestrial,1
WOS:000171783600006,marine,1
WOS:000171828600009,agriculture,1
WOS:000171937700002,freshwater,1
WOS:000171973900013,"freshwater,marine",2
WOS:000172098800007,freshwater,1
WOS:000172111600001,terrestrial,1
WOS:000172184400007,terrestrial,1
WOS:000172202900006,terrestrial,1
WOS:000172356900021,"terrestrial,marine",2
WOS:000172420700009,terrestrial,1
WOS:000172430300003,terrestrial,1
WOS:000172510100021,wwt,1
WOS:000172724100004,terrestrial,1
WOS:000172779200004,freshwater,1
WOS:000172991000005,terrestrial,1
WOS:000172999900016,freshwater,1
WOS:000173085900002,wwt,1
WOS:000173205500002,"terrestrial,freshwater",2
WOS:000173282100008,freshwater,1
WOS:000173422900008,terrestrial,1
WOS:000173680300015,wwt,1
WOS:000173742300004,terrestrial,1
WOS:000173790100009,terrestrial,1
WOS:000173796500007,"terrestrial,marine",2
WOS:000174123800002,"terrestrial,agriculture",2
WOS:000174845400003,freshwater,1
WOS:000174896300003,"terrestrial,freshwater",2
WOS:000175129300002,freshwater,1
WOS:000175184500006,terrestrial,1
WOS:000175276600014,terrestrial,1
WOS:000175321900008,terrestrial,1
WOS:000175538300013,wwt,1
WOS:000175617200011,freshwater,1
WOS:000176030100019,wwt,1
WOS:000176333900013,marine,1
WOS:000176333900014,"freshwater,marine",2
WOS:000176348900017,agriculture,1
WOS:000176587000001,terrestrial,1
WOS:000176592300006,wwt,1
WOS:000176605800019,freshwater,1
WOS:000176627600003,terrestrial,1
WOS:000176631600056,terrestrial,1
WOS:000176660600001,terrestrial,1
WOS:000176837900007,freshwater,1
WOS:000177064100048,freshwater,1
WOS:000177124100001,terrestrial,1
WOS:000177302800010,freshwater,1
WOS:000177305600040,marine,1
WOS:000177340500011,"terrestrial,agriculture",2
WOS:000177382500009,wwt,1
WOS:000177668400002,agriculture,1
WOS:000177680500002,marine,1
WOS:000177989100026,wwt,1
WOS:000177989100068,wwt,1
WOS:000177989100075,wwt,1
WOS:000178058500005,marine,1
WOS:000178153100006,"terrestrial,freshwater",2
WOS:000178390200064,wwt,1
WOS:000178455700006,terrestrial,1
WOS:000178482800007,freshwater,1
WOS:000178873800013,terrestrial,1
WOS:000179376600040,freshwater,1
WOS:000179440400003,wwt,1
WOS:000179507400005,freshwater,1
WOS:000179540100013,terrestrial,1
WOS:000179946000018,marine,1
WOS:000180134500002,terrestrial,1
WOS:000180201600012,terrestrial,1
WOS:000180536500023,"terrestrial,freshwater,marine",3
WOS:000180550100005,terrestrial,1
WOS:000180749200001,agriculture,1
WOS:000180815400022,terrestrial,1
WOS:000180826000007,terrestrial,1
WOS:000180826300013,"terrestrial,marine",2
WOS:000180832500025,freshwater,1
WOS:000180927100035,terrestrial,1
WOS:000180944100006,terrestrial,1
WOS:000180969000002,agriculture,1
WOS:000181012200001,terrestrial,1
WOS:000181163400007,"terrestrial,freshwater",2
WOS:000181238100013,terrestrial,1
WOS:000181357800001,marine,1
WOS:000181661300016,terrestrial,1
WOS:000181661300017,terrestrial,1
WOS:000181840800003,freshwater,1
WOS:000182101700001,terrestrial,1
WOS:000182179700007,marine,1
WOS:000182357700003,terrestrial,1
WOS:000182507300001,freshwater,1
WOS:000182508400004,marine,1
WOS:000182541300041,marine,1
WOS:000182788400033,wwt,1
WOS:000182808300070,terrestrial,1
WOS:000183619100007,"terrestrial,freshwater,marine",3
WOS:000183651800014,freshwater,1
WOS:000183758500005,wwt,1
WOS:000183964700013,terrestrial,1
WOS:000184386800006,wwt,1
WOS:000184512300006,wwt,1
WOS:000184714200012,terrestrial,1
WOS:000184943800009,terrestrial,1
WOS:000185015100016,"terrestrial,freshwater",2
WOS:000185260600008,wwt,1
WOS:000185455100005,terrestrial,1
WOS:000185557700007,terrestrial,1
WOS:000185579900021,terrestrial,1
WOS:000185626300005,terrestrial,1
WOS:000185970600018,marine,1
WOS:000186173900001,marine,1
WOS:000186274600010,freshwater,1
WOS:000186357900018,terrestrial,1
WOS:000186357900027,terrestrial,1
