uid,category_str,count
WOS:000071909100007,terrestrial,1
WOS:000071910200001,freshwater,1
WOS:000071910200008,"terrestrial,freshwater",2
WOS:000071910200009,"freshwater,marine",2
WOS:000071912000001,"terrestrial,freshwater",2
WOS:000071918100010,terrestrial,1
WOS:000071918300006,"terrestrial,freshwater,agriculture",3
WOS:000071947900008,freshwater,1
WOS:000071983700007,terrestrial,1
WOS:000071983700008,terrestrial,1
WOS:000071989400002,terrestrial,1
WOS:000071989400011,freshwater,1
WOS:000072000500003,terrestrial,1
WOS:000072002300002,"terrestrial,freshwater",2
WOS:000072005400006,terrestrial,1
WOS:000072009500003,terrestrial,1
WOS:000072009500004,"terrestrial,agriculture",2
WOS:000072015000001,terrestrial,1
WOS:000072021600001,terrestrial,1
WOS:000072028000003,"terrestrial,agriculture",2
WOS:000072030300006,freshwater,1
WOS:000072036500011,marine,1
WOS:000072050700010,freshwater,1
WOS:000072050700011,freshwater,1
WOS:000072050700016,"terrestrial,freshwater",2
WOS:000072050700022,freshwater,1
WOS:000072052300014,terrestrial,1
WOS:000072052300015,terrestrial,1
WOS:000072100100018,freshwater,1
WOS:000072100100019,"terrestrial,freshwater",2
WOS:000072105100006,freshwater,1
WOS:000072107200010,"terrestrial,marine",2
WOS:000072121000002,terrestrial,1
WOS:000072136600004,"terrestrial,freshwater",2
WOS:000072138900002,freshwater,1
WOS:000072143800003,terrestrial,1
WOS:000072143800011,terrestrial,1
WOS:000072143900006,terrestrial,1
WOS:000072143900013,terrestrial,1
WOS:000072148500004,terrestrial,1
WOS:000072148500012,terrestrial,1
WOS:000072148500022,terrestrial,1
WOS:000072148500023,terrestrial,1
WOS:000072158300001,terrestrial,1
WOS:000072168900024,terrestrial,1
WOS:000072168900036,terrestrial,1
WOS:000072171900004,terrestrial,1
WOS:000072172100004,terrestrial,1
WOS:000072196300009,terrestrial,1
WOS:000072196300012,terrestrial,1
WOS:000072219000006,freshwater,1
WOS:000072231600002,"terrestrial,freshwater",2
WOS:000072231600023,wwt,1
WOS:000072231800033,"wwt,freshwater",2
WOS:000072232100006,"terrestrial,freshwater",2
WOS:000072240700005,terrestrial,1
WOS:000072264200005,terrestrial,1
WOS:000072264200007,terrestrial,1
WOS:000072264200009,terrestrial,1
WOS:000072264200012,terrestrial,1
WOS:000072264200013,terrestrial,1
WOS:000072274100006,"terrestrial,freshwater",2
WOS:000072274100009,terrestrial,1
WOS:000072292700027,wwt,1
WOS:000072307100048,terrestrial,1
